trial,truth,z_A,dec_A,z_B,dec_B,team_UW,team_WCS,team_DSS,team_CF,team_BF
0,1,-0.43699390465871824,0,0.5599315767258961,1,1,1,1,0,0
1,0,-0.1173645005442242,0,0.4928973269834208,1,1,1,1,0,1
2,1,-0.0075290409554162885,0,1.0058108011371192,1,1,1,1,1,0
3,1,-1.0490663313591986,0,0.1980513683944859,1,0,0,0,0,1
4,0,-0.8874711320558362,0,0.6323928915106901,1,0,0,0,0,1
5,1,1.9247369656272513,1,0.10736930238727938,1,1,1,1,1,1
6,1,1.0607420101184635,1,0.647157104077705,1,1,1,1,1,1
7,1,2.617809371605892,1,0.08885056952064385,1,1,1,1,1,1
8,0,-0.42276985473188844,0,0.061757804923211534,1,0,0,0,0,1
9,0,1.8478027535929074,1,-0.7764897826377621,0,1,1,1,1,1
10,0,-0.42247877448294874,0,1.2475516089415675,1,1,1,1,0,1
11,1,0.6224802961537363,1,2.417362737225639,1,1,1,1,1,1
12,1,-0.6793900879214964,0,1.273938254186005,1,1,1,1,1,0
13,1,1.710562740292768,1,1.9412966494140282,1,1,1,1,1,1
14,0,-1.1021251289404788,0,-1.939214480859047,0,0,0,0,0,0
15,0,-1.247047639408727,0,-1.8213777432749945,0,0,0,0,0,0
16,1,1.8812305637625721,1,0.078439433368787,1,1,1,1,1,1
17,0,0.5582226687959572,1,-0.3587690347411226,0,1,1,1,1,0
18,1,1.732051367210679,1,0.20179258190033425,1,1,1,1,1,1
19,1,0.23780886594501882,1,-1.2421352496329536,0,0,0,0,1,0
20,1,0.5490241346947483,1,1.5515917063236468,1,1,1,1,1,1
21,0,-0.6598543976958514,0,1.7541982333569366,1,1,1,1,0,1
22,1,1.382518180672398,1,1.6809876791726226,1,1,1,1,1,1
23,1,2.15356466849423,1,1.4855232687864715,1,1,1,1,1,1
24,1,0.968146555198407,1,0.626119605145603,1,1,1,1,1,1
25,0,1.3748910853573584,1,-1.242997370727137,0,1,1,1,1,1
26,0,0.29719441803306146,1,-0.3274719473640324,0,0,0,0,1,0
